Date,Open,High,Low,Close,Adj_Close,Volume,Compound,Negative,Neutral,Positive
7/16/2010,9.042143,9.106071,8.871786,8.925,7.575508,1039858400,-0.9483,0.14,0.786,0.074
7/19/2010,8.924286,8.924286,8.557143,8.770714,7.44455,1024478000,0.3455,0.115,0.756,0.13
7/20/2010,8.675,9.032143,8.571786,8.996071,7.635835,1074950800,0.9254,0.054,0.822,0.123
7/21/2010,9.4675,9.469643,9.071429,9.08,7.70707,1185671200,0.9138,0.034,0.881,0.085
7/22/2010,9.202857,9.285714,9.118214,9.250714,7.851974,645318800,0.9558,0.037,0.853,0.111
7/23/2010,9.181786,9.299286,9.152857,9.283571,7.879865,533388800,0.9896,0.031,0.801,0.169
7/26/2010,9.285714,9.289286,9.203929,9.26,7.859857,420551600,0.9755,0.041,0.837,0.122
7/27/2010,9.316786,9.457143,9.296429,9.431429,8.005363,584771600,0.9626,0.044,0.861,0.095
7/28/2010,9.416786,9.499643,9.294643,9.32,7.910785,519985200,0.6124,0,0.872,0.128
7/29/2010,9.311071,9.380357,9.146429,9.218214,7.824386,643806800,0.9806,0.041,0.807,0.153
7/30/2010,9.138929,9.275,9.103571,9.1875,7.79832,448210000,0,0,0,0
8/2/2010,9.301429,9.378214,9.272143,9.351786,7.937765,428055600,0.5106,0.064,0.853,0.083
8/3/2010,9.321786,9.402143,9.265,9.354643,7.940188,417653600,0.9872,0.062,0.772,0.166
8/4/2010,9.387143,9.438571,9.296786,9.392143,7.97202,420375200,-0.7662,0.09,0.836,0.074
8/5/2010,9.3475,9.399286,9.305357,9.346429,7.933216,289097200,-0.9397,0.086,0.869,0.045
8/6/2010,9.277857,9.338929,9.201071,9.288929,7.884413,444897600,0.6705,0.012,0.948,0.04
8/9/2010,9.338571,9.3625,9.270357,9.348214,7.934732,303128000,-0.8749,0.097,0.831,0.072
8/10/2010,9.280357,9.301786,9.198214,9.264643,7.863797,451920000,0.8122,0.047,0.881,0.073
8/11/2010,9.121429,9.131786,8.921786,8.935357,7.584301,620054400,0.979,0.073,0.773,0.154
8/12/2010,8.810357,9.039286,8.79,8.9925,7.632803,534920400,0.9517,0.065,0.812,0.123
8/13/2010,8.9875,8.995714,8.896071,8.896429,7.551259,354869200,-0.9231,0.177,0.727,0.096
